CALIFORNIA			
Individual Income Tax Returns:  Selected Income and Tax Items by State,  ZIP Code, and Size of Adjusted Gross Income,  Tax Year 2012                                                                                                                                                                                                                                                                                                                                                                                                           			
[Money amounts are in thousands of dollars]			
ZIP code [1]	Size of adjusted gross income	Number of returns	Adjusted gross income (AGI)
94063	$75,000 under $100,000	850	73867
94063	$100,000 under $200,000	1070	144283
94063	$200,000 or more	310	192325
			
94065		5,810	1,397,157
94065	$1 under $25,000	920	9726
94065	$25,000 under $50,000	620	23110
94065	$50,000 under $75,000	590	36769
94065	$75,000 under $100,000	560	48545
94065	$100,000 under $200,000	1620	232717
94065	$200,000 or more	1500	1046290
			
94066		22,040	1,557,445
94066	$1 under $25,000	6560	84072
94066	$25,000 under $50,000	5100	187261
94066	$50,000 under $75,000	3480	214593
94066	$75,000 under $100,000	2320	201797
94066	$100,000 under $200,000	3630	497877
94066	$200,000 or more	950	371845
			
94070		15,140	2,913,784
94070	$1 under $25,000	3210	34668
94070	$25,000 under $50,000	1970	73158
94070	$50,000 under $75,000	1660	102416
94070	$75,000 under $100,000	1340	117123
94070	$100,000 under $200,000	3360	482428
94070	$200,000 or more	3600	2103991
			
94074		100	8,271
94074	$1 under $25,000	30	417
94074	$25,000 under $50,000	20	878
94074	$50,000 under $75,000	30	1869
94074	$75,000 under $100,000	**	**
94074	$100,000 under $200,000	20	5107
94074	$200,000 or more	**	**
			
94080		32,520	2,163,956
94080	$1 under $25,000	10180	128971
94080	$25,000 under $50,000	7850	288932
94080	$50,000 under $75,000	4920	301048
94080	$75,000 under $100,000	3220	278778
94080	$100,000 under $200,000	5050	691040
94080	$200,000 or more	1300	475187
			
94085		10,540	890,522
94085	$1 under $25,000	2940	38468
94085	$25,000 under $50,000	2140	77725
94085	$50,000 under $75,000	1390	85685
94085	$75,000 under $100,000	1080	93192
94085	$100,000 under $200,000	2210	306694
94085	$200,000 or more	780	288758
			
94086		22,070	2,269,998
94086	$1 under $25,000	5250	66975
94086	$25,000 under $50,000	3930	143561
94086	$50,000 under $75,000	2980	184698
94086	$75,000 under $100,000	2520	220153
94086	$100,000 under $200,000	5000	695742
94086	$200,000 or more	2390	958869
			
94087		24,800	3,475,045
94087	$1 under $25,000	5620	62345
94087	$25,000 under $50,000	3240	119030
94087	$50,000 under $75,000	2640	164522
94087	$75,000 under $100,000	2280	198758
94087	$100,000 under $200,000	5890	845191
94087	$200,000 or more	5130	2085199
			
94089		10,520	818,674
94089	$1 under $25,000	2920	36249
94089	$25,000 under $50,000	2140	78340
94089	$50,000 under $75,000	1540	94878
94089	$75,000 under $100,000	1130	98341
94089	$100,000 under $200,000	2100	287400
94089	$200,000 or more	690	223466
			
94102		13,720	851,491
94102	$1 under $25,000	5120	66613
94102	$25,000 under $50,000	3920	142478
94102	$50,000 under $75,000	1820	111282
94102	$75,000 under $100,000	1050	90635
94102	$100,000 under $200,000	1320	177396
94102	$200,000 or more	490	263087
			
94103		13,350	1,515,292
94103	$1 under $25,000	4400	56552
94103	$25,000 under $50,000	3250	118759
94103	$50,000 under $75,000	1810	110543
94103	$75,000 under $100,000	1110	96616
94103	$100,000 under $200,000	1920	263258
94103	$200,000 or more	860	869564
			
94104		1,370	807,553
94104	$1 under $25,000	310	3546
94104	$25,000 under $50,000	210	7381
94104	$50,000 under $75,000	170	10491
94104	$75,000 under $100,000	110	9447
94104	$100,000 under $200,000	230	32134
94104	$200,000 or more	340	744554
			
94105		5,110	1,665,163
94105	$1 under $25,000	610	7117
94105	$25,000 under $50,000	490	18383
94105	$50,000 under $75,000	590	36648
94105	$75,000 under $100,000	570	49601
94105	$100,000 under $200,000	1410	198915
94105	$200,000 or more	1440	1354499
			
94107		15,450	2,595,050
94107	$1 under $25,000	2800	34996
94107	$25,000 under $50,000	2340	87636
94107	$50,000 under $75,000	1980	123104
94107	$75,000 under $100,000	1700	147948
94107	$100,000 under $200,000	3870	544748
94107	$200,000 or more	2760	1656618
			
94108		6,740	956,279
94108	$1 under $25,000	2420	30241
94108	$25,000 under $50,000	1570	57599
94108	$50,000 under $75,000	970	59384
94108	$75,000 under $100,000	610	52923
94108	$100,000 under $200,000	760	102261
94108	$200,000 or more	410	653871
			
94109		31,830	3,398,222
94109	$1 under $25,000	7750	100063
94109	$25,000 under $50,000	7130	264786
94109	$50,000 under $75,000	5350	330135
94109	$75,000 under $100,000	3570	307876
94109	$100,000 under $200,000	5270	722914
94109	$200,000 or more	2760	1672448
			
94110		39,250	3,460,178
94110	$1 under $25,000	12240	161361
94110	$25,000 under $50,000	9640	353032
94110	$50,000 under $75,000	5540	339753
94110	$75,000 under $100,000	3420	295914
94110	$100,000 under $200,000	5500	760955
94110	$200,000 or more	2910	1549163
			
94111		2,670	1,754,078
94111	$1 under $25,000	570	6950
94111	$25,000 under $50,000	350	12894
94111	$50,000 under $75,000	280	17086
94111	$75,000 under $100,000	250	21548
94111	$100,000 under $200,000	550	77518
94111	$200,000 or more	670	1618082
			
94112		40,810	1,974,886
94112	$1 under $25,000	16790	214290
94112	$25,000 under $50,000	11010	399223
94112	$50,000 under $75,000	5490	335474
94112	$75,000 under $100,000	3000	258968
94112	$100,000 under $200,000	3700	494543
94112	$200,000 or more	820	272388
			
94114		20,740	4,354,142
94114	$1 under $25,000	3570	43721
94114	$25,000 under $50,000	3440	130508
94114	$50,000 under $75,000	3250	201361
94114	$75,000 under $100,000	2420	209869
94114	$100,000 under $200,000	4650	652358
94114	$200,000 or more	3410	3116325
			
94115		18,600	3,774,428
94115	$1 under $25,000	4250	53721
94115	$25,000 under $50,000	3690	137684
94115	$50,000 under $75,000	2960	182392
94115	$75,000 under $100,000	1980	172120
94115	$100,000 under $200,000	3300	453991
94115	$200,000 or more	2420	2774520
			
94116		22,710	1,857,524
94116	$1 under $25,000	7340	86815
94116	$25,000 under $50,000	4690	173011
94116	$50,000 under $75,000	3170	194649
94116	$75,000 under $100,000	2200	190307
94116	$100,000 under $200,000	3640	504521
94116	$200,000 or more	1670	708221
			
94117		22,750	3,054,647
94117	$1 under $25,000	4830	62913
94117	$25,000 under $50,000	5070	188665
94117	$50,000 under $75,000	3780	233319
94117	$75,000 under $100,000	2550	220834
94117	$100,000 under $200,000	4000	553750
94117	$200,000 or more	2520	1795166
			
94118		20,700	3,794,668
94118	$1 under $25,000	5490	65880
94118	$25,000 under $50,000	4320	160774
94118	$50,000 under $75,000	3180	195163
94118	$75,000 under $100,000	1990	172362
94118	$100,000 under $200,000	3170	440340
94118	$200,000 or more	2550	2760149
			
94121		22,090	2,215,494
94121	$1 under $25,000	6780	82985
94121	$25,000 under $50,000	4950	182196
94121	$50,000 under $75,000	3380	206991
94121	$75,000 under $100,000	2080	179277
94121	$100,000 under $200,000	3230	443347
94121	$200,000 or more	1670	1120698
			
94122		30,810	2,284,629
94122	$1 under $25,000	9510	115727
94122	$25,000 under $50,000	7030	259024
94122	$50,000 under $75,000	4680	287175
94122	$75,000 under $100,000	2960	256541
94122	$100,000 under $200,000	4800	660279
94122	$200,000 or more	1830	705883
			
94123		14,950	3,728,592
94123	$1 under $25,000	1940	22902
94123	$25,000 under $50,000	1940	74225
94123	$50,000 under $75,000	2460	153200
94123	$75,000 under $100,000	2030	175925
94123	$100,000 under $200,000	3660	511481
94123	$200,000 or more	2920	2790859
			
94124		16,280	629,034
94124	$1 under $25,000	7790	96977
94124	$25,000 under $50,000	4470	159838
94124	$50,000 under $75,000	2040	124268
94124	$75,000 under $100,000	970	83364
